Farm Name,Component Category,Component Name ,Group Name,Month,Year,Enteric CH4 (Mg C02e),Manure CH4 (Mg C02e),Direct N2O (Mg C02e),Indirect N2O (Mg C02e),Energy CO2 (Mg C02e),CO2 (Mg C02e),Sub-total (Mg C02e),
Farm_Farm
,Sheep,
,,Sheep1,
,,,Sheep,
,,,,October,2023,55.0621,45.3053,8.0352,1.3222,0,---,109.7247,
,,,,November,2023,59.9996,49.3679,8.7557,1.4397,0,---,119.5628,
,,,,December,2023,68.9273,56.7136,10.0585,1.653,0,---,137.3524,
,,,,January,2024,40.7851,33.5581,5.9517,0.9777,0,---,81.2727,
,,,,October,2023,19.2133,13.8818,2.9682,0.4893,0,---,36.5525,
,,,,November,2023,20.3145,14.6774,3.1383,0.517,0,---,38.6471,
,,,,December,2023,22.7667,16.4491,3.5171,0.579,0,---,43.312,
,,,,January,2024,22.1118,15.9759,3.4159,0.5621,0,---,42.0657,

,,,,,Sheep1 Totals,309.1805,245.929,45.8405,7.5399,0,---,608.4899,

,Dairy cattle,
,,Dairyheifers,
,,,Heifers,
,,,,October,2023,10.5982,8.7202,1.5285,0.1727,0,---,21.0196,
,,,,November,2023,11.2431,9.2508,1.6507,0.1863,0,---,22.331,
,,,,December,2023,12.6083,10.3741,1.8779,0.2118,0,---,25.0721,
,,,,January,2024,7.3322,6.0329,1.1025,0.1243,0,---,14.5918,
,,,Cows,
,,,,October,2023,12.3409,7.9795,1.5502,0.1675,1.8498,---,23.8879,
,,,,November,2023,11.9428,7.7221,1.5002,0.1621,1.7901,---,23.1174,
,,,,December,2023,12.3409,7.9795,1.5502,0.1675,1.8498,---,23.8879,
,,,,January,2024,12.3409,7.9795,1.5502,0.1675,1.8498,---,23.8879,
,,,,February,2024,11.5447,7.4647,1.4502,0.1567,1.7305,---,22.3468,
,,,,March,2024,12.3409,7.9795,1.5502,0.1675,1.8498,---,23.8879,
,,,,April,2024,11.9428,7.7221,1.5002,0.1621,1.7901,---,23.1174,
,,,,May,2024,12.3409,7.9795,1.5502,0.1675,1.8498,---,23.8879,
,,,,June,2024,11.9428,7.7221,1.5002,0.1621,1.7901,---,23.1174,
,,,,July,2024,12.3409,7.9795,1.5502,0.1675,1.8498,---,23.8879,
,,,,August,2024,12.3409,7.9795,1.5502,0.1675,1.8498,---,23.8879,
,,,,September,2024,11.5447,7.4647,1.4502,0.1567,1.7305,---,22.3468,

,,,,,Dairyheifers Totals,187.0857,128.3304,24.4125,2.6672,21.78,---,364.2758,

,Beef production,
,,BeefStockers&Backgrounders,
,,,Heifers,
,,,,October,2023,13.9131,7.2456,1.6255,0.5972,0.4185,---,23.7998,
,,,,November,2023,14.7597,7.6865,1.7828,0.6556,0.405,---,25.2896,
,,,,December,2023,16.5519,8.6198,2.0527,0.754,0.4185,---,28.3969,
,,,,January,2024,10.2037,5.3138,1.2879,0.4734,0.243,---,17.5218,
,,,Steers,
,,,,October,2023,16.5411,8.2881,2.3161,0.847,0.3348,---,28.3272,
,,,,November,2023,17.4207,8.7289,2.5043,0.9174,0.324,---,29.8953,
,,,,December,2023,19.4229,9.7321,2.8523,1.0442,0.3348,---,33.3863,
,,,,January,2024,18.7562,9.398,2.802,1.0274,0.3024,---,32.2861,

,,,,,BeefStockers&Backgrounders Totals,127.5692,65.0128,17.2237,6.3162,2.781,---,218.903,



,,,,,Farm Total,623.8354,439.2723,87.4767,16.5233,24.561,---,1191.6687,

