Farm Name,Component Category,Component Name ,Component Group Name,Month,Year,Dry Matter Intake (kg head^-1 day^-1)
Farm_Farm
,Sheep,
,,Sheep1,
,,,Sheep,
,,,,October,2023,0,
,,,,November,2023,0,
,,,,December,2023,0,
,,,,January,2024,0,
,,,,October,2023,0,
,,,,November,2023,0,
,,,,December,2023,0,
,,,,January,2024,0,
,,,,,,0,

,Dairy cattle,
,,Dairyheifers,
,,,Heifers,
,,,,October,2023,13.1529,
,,,,November,2023,14.2559,
,,,,December,2023,14.4,
,,,,January,2024,14.4,
,,,,,,56.2088,

,,,Cows,
,,,,October,2023,25.5262,
,,,,November,2023,25.5262,
,,,,December,2023,25.5262,
,,,,January,2024,25.5262,
,,,,February,2024,25.5262,
,,,,March,2024,25.5262,
,,,,April,2024,25.5262,
,,,,May,2024,25.5262,
,,,,June,2024,25.5262,
,,,,July,2024,25.5262,
,,,,August,2024,25.5262,
,,,,September,2024,25.5262,
,,,,,,306.3146,

,Beef production,
,,BeefStockers&Backgrounders,
,,,Heifers,
,,,,October,2023,7.6742,
,,,,November,2023,8.1192,
,,,,December,2023,8.1225,
,,,,January,2024,8.1225,
,,,,,,32.0384,

,,,Steers,
,,,,October,2023,11.4047,
,,,,November,2023,12.4115,
,,,,December,2023,13.317,
,,,,January,2024,13.5,
,,,,,,50.6331,

