Farm Name,Component Category,Component Name ,Group Name,Month,Year,Enteric CH4 (Kg GHGs),Manure CH4 (Kg GHGs),Direct N2O (Kg GHGs),Indirect N2O (Kg GHGs),Energy CO2 (Kg GHGs),CO2 (Kg GHGs),
Farm_Farm
,Sheep,
,,Sheep1,
,,,Sheep,
,,,,October,2023,1966.5052,1618.0462,29.4328,4.8431,0,---,
,,,,November,2023,2142.8437,1763.1381,32.0721,5.2736,0,---,
,,,,December,2023,2461.6901,2025.4857,36.8442,6.0548,0,---,
,,,,January,2024,1456.6118,1198.5044,21.8012,3.5814,0,---,
,,,,October,2023,686.1894,495.7768,10.8724,1.7922,0,---,
,,,,November,2023,725.5178,524.1919,11.4955,1.8936,0,---,
,,,,December,2023,813.0976,587.4689,12.8832,2.121,0,---,
,,,,January,2024,789.7055,570.5679,12.5126,2.059,0,---,

,,,,,Sheep1 Totals,11042.1611,8783.18,167.914,27.6186,0,---,

,Dairy cattle,
,,Dairyheifers,
,,,Heifers,
,,,,October,2023,378.5058,311.4357,5.599,0.6328,0,---,
,,,,November,2023,401.5376,330.3863,6.0467,0.6826,0,---,
,,,,December,2023,450.2948,370.5039,6.8788,0.7758,0,---,
,,,,January,2024,261.8625,215.4613,4.0384,0.4552,0,---,
,,,Cows,
,,,,October,2023,440.7462,284.9828,5.6785,0.6135,1849.8082,---,
,,,,November,2023,426.5286,275.7898,5.4954,0.5937,1790.137,---,
,,,,December,2023,440.7462,284.9828,5.6785,0.6135,1849.8082,---,
,,,,January,2024,440.7462,284.9828,5.6785,0.6135,1849.8082,---,
,,,,February,2024,412.3109,266.5968,5.3122,0.5739,1730.4658,---,
,,,,March,2024,440.7462,284.9828,5.6785,0.6135,1849.8082,---,
,,,,April,2024,426.5286,275.7898,5.4954,0.5937,1790.137,---,
,,,,May,2024,440.7462,284.9828,5.6785,0.6135,1849.8082,---,
,,,,June,2024,426.5286,275.7898,5.4954,0.5937,1790.137,---,
,,,,July,2024,440.7462,284.9828,5.6785,0.6135,1849.8082,---,
,,,,August,2024,440.7462,284.9828,5.6785,0.6135,1849.8082,---,
,,,,September,2024,412.3109,266.5968,5.3122,0.5739,1730.4658,---,

,,,,,Dairyheifers Totals,6681.6317,4583.2297,89.4231,9.7698,21780,---,

,Beef production,
,,BeefStockers&Backgrounders,
,,,Heifers,
,,,,October,2023,496.8958,258.7711,5.9541,2.1875,418.5,---,
,,,,November,2023,527.1315,274.5171,6.5304,2.4015,405,---,
,,,,December,2023,591.1391,307.8507,7.5192,2.7618,418.5,---,
,,,,January,2024,364.4168,189.7793,4.7176,1.7342,243,---,
,,,Steers,
,,,,October,2023,590.7537,296.0045,8.4838,3.1027,334.8,---,
,,,,November,2023,622.1672,311.7446,9.1734,3.3604,324,---,
,,,,December,2023,693.6746,347.5743,10.4481,3.8247,334.8,---,
,,,,January,2024,669.8652,335.6443,10.2638,3.7635,302.4,---,

,,,,,BeefStockers&Backgrounders Totals,4556.0441,2321.8861,63.0904,23.1364,2781,---,



,,,,,Farm Total,22279.8369,15688.2958,320.4275,60.5248,24561,---,

